Displacement,Engine type,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Fuel capacity,Front tire,Rear tire,Front brakes,Rear brakes,displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",40.0 x 39.7 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,Chain   (final drive),7.50,80/90-21 ,110/80-18 ,Single disc,Single disc,49.9,1.0,2.0,40.0,39.7,Carburettor,0,0,1,0,6.0,0,0,1,0,80.0,90.0,21.0,110.0,80.0,18.0
49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",40.0 x 39.7 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,Chain   (final drive),7.50,130/80-17 ,130/70-17 ,Single disc,Single disc,49.9,1.0,2.0,40.0,39.7,Carburettor,0,0,1,0,6.0,0,0,1,0,130.0,80.0,17.0,130.0,70.0,17.0
49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",40.0 x 39.7 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,Chain   (final drive),7.50,100/80-17 ,130/70-17 ,Single disc,Single disc,49.9,1.0,2.0,40.0,39.7,Carburettor,0,0,1,0,6.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor. Walbro 30 mm,Air,5-speed,Chain   (final drive),7.00,100/80-17 ,130/70-17 ,Single disc,Single disc. 2-piston caliper,124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",69.0 x 62.5 mm (2.7 x 2.5 inches),Carburettor. Walbro 30 mm,Oil & air,5-speed,Chain   (final drive),7.50,70/100-19 ,100/100-17 ,Single disc. 2-piston calipers,Single disc,233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",69.0 x 62.5 mm (2.7 x 2.5 inches),Carburettor,Oil & air,5-speed,Chain   (final drive),7.50,70/100-19 ,100/100-17 ,Single disc. 2-piston calipers,Single disc,233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",69.0 x 62.5 mm (2.7 x 2.5 inches),Carburettor. Walbro 30 mm,Oil & air,5-speed,Chain   (final drive),7.50,70/100-19 ,90/100-16 ,Single disc. 2-piston calipers,Single disc,233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,90.0,100.0,16.0
124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.0 x 49.5 mm (2.2 x 1.9 inches),Carburettor. 30 mm,Air,5-speed,Chain   (final drive),7.00,70/100-19 ,100/100-17 ,Single disc. 2 piston caliper,Single disc,124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.0 x 49.5 mm (2.2 x 1.9 inches),Carburettor. 30 mm,Air,5-speed,Chain   (final drive),7.00,70/100-19 ,100/100-17 ,Single disc. 2 piston caliper,Single disc,124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor. 30 mm,Air,5-speed,Chain   (final drive),7.00,2.75-19 ,3.25-17 ,Single disc. 2 piston caliper,Single disc,124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,,,
124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor. 30 mm,Air,5-speed,Chain   (final drive),7.00,2.75-19 ,3.25-17 ,Single disc. 2 piston caliper,Single disc,124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,,,
233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",69.0 x 62.5 mm (2.7 x 2.5 inches),Carburettor. 30 mm,Oil & air,5-speed,Chain   (final drive),7.50,70/100-19 ,100/100-17 ,Single disc. 2-piston calipers,Single disc,233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
