displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
49.9,1.0,2.0,40.0,39.7,Carburettor,0,0,1,0,6.0,0,0,1,0,80.0,90.0,21.0,110.0,80.0,18.0
49.9,1.0,2.0,40.0,39.7,Carburettor,0,0,1,0,6.0,0,0,1,0,130.0,80.0,17.0,130.0,70.0,17.0
49.9,1.0,2.0,40.0,39.7,Carburettor,0,0,1,0,6.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,90.0,100.0,16.0
124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,,,
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,,,
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.2,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.2,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,100.0,100.0,17.0
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,70.0,100.0,19.0,90.0,100.0,16.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
125.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
233.0,1.0,4.0,69.0,62.2,Carburettor,0,0,0,1,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
233.0,1.0,4.0,69.0,62.2,Carburettor,0,0,0,1,5.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,18.0
124.0,1.0,4.0,56.0,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,18.0
